                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.65407,                0.73286,                 1.1285,                0.94037,                0.35401,                0.44476,                0.25442,                  1.859,                 2.3103,                 1.5978,             7.4309e-05,             7.4309e-05,             7.4309e-05
                     90,                0.61099,                0.80453,                 1.0952,                0.94037,                0.35401,                0.44476,                0.25442,                  1.859,                 2.3103,                 1.5978,             7.4804e-05,             7.4804e-05,             7.4804e-05
                     91,                0.82567,                0.96747,                 1.2862,                0.94037,                0.35401,                0.44476,                0.25442,                  1.859,                 2.3103,                 1.5978,             7.5291e-05,             7.5291e-05,             7.5291e-05
                     92,                0.84111,                0.95193,                 1.3048,                0.94259,                0.35418,                0.43944,                0.25502,                 1.8764,                 2.3396,                  1.612,             7.5771e-05,             7.5771e-05,             7.5771e-05
                     93,                0.70262,                0.83197,                 1.1364,                0.94259,                0.35418,                0.43944,                0.25502,                 1.8764,                 2.3396,                  1.612,             7.6242e-05,             7.6242e-05,             7.6242e-05
                     94,                0.81261,                 1.2097,                 1.2351,                0.94259,                0.35418,                0.43944,                0.25502,                 1.8764,                 2.3396,                  1.612,             7.6705e-05,             7.6705e-05,             7.6705e-05
                     95,                0.84824,                 1.0935,                  1.256,                0.94259,                0.35418,                0.43944,                0.25502,                 1.8764,                 2.3396,                  1.612,             7.7161e-05,             7.7161e-05,             7.7161e-05
                     96,                0.78191,                0.86713,                 1.1643,                0.94961,                 0.3552,                0.43737,                0.25503,                 1.9035,                 2.3939,                 1.6395,             7.7609e-05,             7.7609e-05,             7.7609e-05
                     97,                0.78416,                0.73515,                 1.2102,                0.94961,                 0.3552,                0.43737,                0.25503,                 1.9035,                 2.3939,                 1.6395,             7.8049e-05,             7.8049e-05,             7.8049e-05
                     98,                0.74616,                 1.0209,                 1.1663,                0.94961,                 0.3552,                0.43737,                0.25503,                 1.9035,                 2.3939,                 1.6395,             7.8481e-05,             7.8481e-05,             7.8481e-05
                     99,                0.92628,                 1.2295,                 1.2616,                0.94961,                 0.3552,                0.43737,                0.25503,                 1.9035,                 2.3939,                 1.6395,             7.8905e-05,             7.8905e-05,             7.8905e-05
                    100,                0.77714,                0.69158,                 1.2479,                0.93808,                0.36032,                0.43918,                0.25739,                 1.9434,                 2.4437,                  1.672,             7.9321e-05,             7.9321e-05,             7.9321e-05
                    101,                0.64628,                0.72175,                 1.1013,                0.93808,                0.36032,                0.43918,                0.25739,                 1.9434,                 2.4437,                  1.672,              7.973e-05,              7.973e-05,              7.973e-05
